Gene_names	 dn/ds
YHR019C	0.0138
YER102W	0.0794
YKL211C	0.0319
YLR456W	0.0829
YDR292C	0.0651
YMR288W	0.0553
YIL135C	0.0751
YFR003C	0.0781
YHR038W	0.1011
YKL176C	0.0488
YHR084W	0.0539
YBR053C	0.0741
YJL151C	0.0411
YMR252C	0.0518
YKR037C	0.0286
YNR008W	0.0474
YOR354C	0.1124
YJR129C	0.1241
YJL050W	0.0288
YGR241C	0.0905
YOL013C	0.1636
YBR201W	0.0841
YKL185W	0.0852
YAL059W	0.1337
YML065W	0.0884
YGR222W	0.1363
YPL022W	0.0794
YKR015C	0.2103
YBR132C	0.0393
YGR215W	0.0857
YIL111W	0.0056
YIL021W	0.0072
YOL039W	0.0627
YHR075C	0.1016
YMR153W	0.2125
YCR031C	0.0496
YLR324W	0.0516
YBL088C	0.1116
YMR241W	0.0098
YDR105C	0.0233
YJR049C	0.0207
YLR326W	0.0987
YGR240C	0.0092
YKL094W	0.0384
YJL091C	0.1281
YJL025W	0.0858
YOR195W	0.0883
YGR147C	0.1687
YDL234C	0.0486
YDR440W	0.1431
YIR035C	0.0578
YIL065C	0.0052
YOL059W	0.0261
YDL215C	0.0129
YMR236W	0.0314
YOR360C	0.0660
YJL176C	0.1520
YGL197W	0.0452
YKL207W	0.1056
YBR241C	0.0447
YGL017W	0.0900
YHR065C	0.0355
YJL058C	0.0830
YDR143C	0.1966
YBR061C	0.0245
YNR016C	0.0114
YPL202C	0.1185
YLR420W	0.0644
YIL062C	0.0994
YHL008C	0.1105
YNL157W	0.0388
YMR220W	0.1011
YLR312C	0.1782
YOR150W	0.0271
YPL027W	0.1660
YNL090W	0.0112
YBR156C	0.1152
YFR002W	0.0452
YBR130C	0.0814
YGL243W	0.1782
YOR214C	0.1525
YDL029W	0.0059
YMR197C	0.0220
YJL065C	0.0924
YDR162C	0.1078
YML022W	0.0920
YJL082W	0.0194
YLR427W	0.0827
YNL253W	0.0779
YBR039W	0.0328
YDR057W	0.1736
YJL100W	0.1027
YGR040W	0.0038
YML006C	0.0933
YGL252C	0.0337
YHR206W	0.0314
YGL013C	0.0437
YDR066C	0.2137
YMR296C	0.0273
YJR025C	0.0205
YER082C	0.0554
YHR169W	0.0242
YGR020C	0.0192
YEL060C	0.1178
YOR116C	0.0174
YGL219C	0.0476
YER036C	0.0089
YGL025C	0.1092
YJR135W-A	0.0242
YKL171W	0.0910
YOR305W	0.1172
YOR056C	0.0999
YNL024C	0.0785
YAR008W	0.1021
YKR075C	0.1339
YLR373C	0.0555
YBR211C	0.0844
YDR490C	0.1165
YHR167W	0.0967
YGL094C	0.0285
YJR122W	0.1896
YBL023C	0.0142
YHR034C	0.0920
YGR074W	0.0218
YGR140W	0.0976
YIL063C	0.1249
YMR257C	0.1159
YBR251W	0.0214
YER034W	0.1267
YER044C	0.0300
YDR125C	0.1198
YHR138C	0.0904
YCR003W	0.1652
YPL248C	0.1431
YHL019C	0.0598
YDR294C	0.0638
YIL084C	0.0282
YOR236W	0.1391
YOL125W	0.1096
YGR227W	0.0547
YDR221W	0.1797
YNL001W	0.0187
YHR165C	0.0435
YGR141W	0.0572
YKL119C	0.0702
YGL039W	0.1105
YDL171C	0.0174
YDR206W	0.1624
YDR121W	0.0948
YMR186W	0.0091
YGL198W	0.1595
YBL009W	0.1429
YDL194W	0.0861
YFL048C	0.0696
YML053C	0.1590
YNR027W	0.1261
YML018C	0.0912
YHR096C	0.0248
YIL162W	0.0378
YOL146W	0.0323
YJR045C	0.0094
YGL097W	0.0269
YHR110W	0.0499
YFR041C	0.1588
YGR169C	0.1184
YHR168W	0.1398
YDR171W	0.0817
YDR138W	0.1374
YGR266W	0.0843
YDL179W	0.1362
YMR109W	0.0657
YLR336C	0.1033
YBR006W	0.0265
YBR215W	0.2000
YDR322C-A	0.0629
YPR036W	0.0179
YPR148C	0.1065
YGL121C	0.0445
YMR034C	0.0594
YOR098C	0.2689
YGL251C	0.1013
YHR199C	0.0365
YPL269W	0.1371
YMR240C	0.1325
YNL311C	0.0550
YLR047C	0.0655
YPL064C	0.2816
YOR126C	0.1131
YIL044C	0.1149
YDR059C	0.0086
YDR291W	0.0674
YKR038C	0.0646
YNL220W	0.0192
YPR034W	0.0488
YJL031C	0.0748
YMR147W	0.2293
YPR160W	0.0123
YLL052C	0.0323
YBR293W	0.0546
YML104C	0.0857
YIL016W	0.0248
YOR079C	0.0809
YER063W	0.1245
YNR030W	0.0920
YLR359W	0.0092
YGR201C	0.0564
YDR498C	0.1090
YJR078W	0.1006
YJR052W	0.0838
YJL170C	0.1386
YOL136C	0.0416
YPR107C	0.0118
YDR421W	0.1080
YKR004C	0.1546
YPR112C	0.0756
YGR009C	0.0966
YOR290C	0.0632
YKR072C	0.0715
YHR194W	0.0472
YJL121C	0.0168
YNL310C	0.0932
YMR200W	0.0356
YDR061W	0.0799
YJR090C	0.0467
YLR040C	0.1533
YMR253C	0.0762
YBR040W	0.0244
YKR060W	0.1074
YJR130C	0.0584
YGL242C	0.0319
YMR305C	0.0701
YPL029W	0.0640
YPL188W	0.0469
YNL233W	0.1590
YKL029C	0.0182
YBR252W	0.0343
YPL169C	0.0421
YNL201C	0.0610
YKL184W	0.0679
YNL048W	0.0732
YEL062W	0.0480
YMR278W	0.0600
YLL029W	0.0518
YDL117W	0.0601
YPL194W	0.0986
YOL003C	0.1253
YJR064W	0.0074
YPR026W	0.0357
YPL190C	0.1079
YDR395W	0.0249
YOL126C	0.0415
YGL164C	0.0645
YNR004W	0.0898
YOL128C	0.1024
YOL104C	0.1988
YOR011W	0.0560
YIL164C	0.0374
YNL123W	0.0402
YMR064W	0.1607
YKL140W	0.0307
YHR059W	0.1226
YPR025C	0.1007
YLR203C	0.0300
YBR253W	0.0603
YCR033W	0.1757
YJR024C	0.0441
YPL150W	0.0647
YDR084C	0.0200
YBR055C	0.1183
YPR021C	0.0494
YMR204C	0.1136
YER007W	0.2209
YIL020C	0.0630
YNL154C	0.0261
YCR051W	0.0696
YJL131C	0.1164
YLL040C	0.0358
YML126C	0.0337
YGR195W	0.0099
YDL030W	0.0910
YBR096W	0.0981
YDR468C	0.0412
YKL033W	0.1290
YPL211W	0.0155
YDR310C	0.1062
YPR037C	0.0703
YMR268C	0.1644
YLR013W	0.2033
YGR221C	0.2955
YFR022W	0.0880
YNL245C	0.1378
YNL208W	0.3917
YKR089C	0.0408
YGR179C	0.1020
YIR004W	0.0794
YMR316W	0.2076
YBR269C	0.1925
YOR188W	0.1080
YNL101W	0.0301
YGL056C	0.0411
YLR095C	0.1082
YCR020W-B	0.2262
YFL040W	0.0389
YER045C	0.2574
YLR117C	0.0922
YDR131C	0.0909
YMR301C	0.0485
YLR272C	0.0451
YNL160W	0.0694
YNL022C	0.0706
YER002W	0.0982
YPR024W	0.0251
YBR019C	0.0570
YNL294C	0.0682
YNR035C	0.0376
YHL038C	0.0975
YML005W	0.1508
YKL210W	0.0235
YNL195C	0.2621
YBR176W	0.0480
YDL044C	0.1529
YPL270W	0.0516
YML110C	0.0284
YKL168C	0.1123
YNL189W	0.0109
YNL234W	0.1114
YJL047C	0.0997
YOR196C	0.1071
YLR299W	0.0593
YGR285C	0.0381
YDR373W	0.0148
YGR284C	0.0216
YOR350C	0.2189
YMR108W	0.0262
YNL046W	0.2335
YIL040W	0.0649
YKR041W	0.2320
YGR157W	0.0612
YHR175W	0.0424
YAL047C	0.1045
YNL197C	0.0626
YDR307W	0.1454
YDR106W	0.1916
YLR363C	0.0140
YPR081C	0.1254
YOL010W	0.0284
YCL004W	0.1256
YNL177C	0.1398
YDR416W	0.1633
YDL212W	0.0502
YJL014W	0.0093
YKL103C	0.0385
YNL267W	0.0511
YBR272C	0.1369
YDR177W	0.0090
YOR273C	0.0971
YLR452C	0.0859
YNL249C	0.1625
YML111W	0.0427
YGR206W	0.2638
YOR172W	0.0911
YFL023W	0.1718
YLR007W	0.1417
YBR047W	0.0508
YMR161W	0.0217
YGR060W	0.0204
YER120W	0.1254
YPL157W	0.0987
YLR372W	0.0633
YJR035W	0.0731
YKR007W	0.1408
YDR480W	0.2511
YJR063W	0.0116
YBR120C	0.0935
YOR316C	0.0941
YML116W	0.0621
YOR262W	0.0125
YCR028C-A	0.2895
YGR121C	0.0265
YKL098W	0.1020
YPL156C	0.1780
YLL034C	0.0458
YJL178C	0.1163
YML121W	0.0079
YDR385W	0.0105
YGR113W	0.0814
YMR101C	0.1110
YIL154C	0.0402
YHR171W	0.0829
YIR025W	0.1190
YER128W	0.1003
YNL037C	0.0127
YHR163W	0.0767
YGL055W	0.0496
YMR299C	0.2101
YBR285W	0.1514
YGL195W	0.0552
YHR123W	0.0416
YKL075C	0.0711
YOR197W	0.0350
YJR135C	0.1982
YGR006W	0.2256
YJR102C	0.1855
YDR434W	0.0373
YKR009C	0.0531
YIL091C	0.0760
YPL074W	0.0738
YBR234C	0.0379
YCR081W	0.0531
YGR187C	0.0587
YDR192C	0.2754
YPR006C	0.0613
YNL082W	0.1088
YDR124W	0.1556
YKL216W	0.0238
YDR403W	0.0627
YOR081C	0.0374
YOR152C	0.0810
YNL271C	0.0668
YPL095C	0.0522
YKL178C	0.0740
YOL129W	0.0242
YPR159W	0.0462
YKL087C	0.1026
YOL004W	0.0650
YHL036W	0.0463
YLR419W	0.0771
YDR429C	0.0698
YBL102W	0.0295
YIL123W	0.1315
YIL019W	0.1246
YBR070C	0.1431
YEL048C	0.1369
YGL196W	0.1159
YDR137W	0.1245
YLR259C	0.0082
YOR349W	0.1420
YPR128C	0.0938
YDR228C	0.0614
YGL241W	0.0927
YOR298W	0.0761
YDL035C	0.1389
YHR189W	0.0467
YHR122W	0.0510
YNR032W	0.0211
YKR043C	0.0148
YDR163W	0.5477
YIL036W	0.1054
YOR064C	0.1693
YDR073W	0.1066
YHR076W	0.0962
YPL134C	0.0324
YHR143W	0.2039
YGL081W	0.2785
YJR073C	0.0613
YML036W	0.1986
YKL163W	0.0311
YDR205W	0.1059
YGL023C	0.0676
YKL046C	0.0156
YMR206W	0.1427
YOL009C	0.1049
YGL147C	0.0363
YHR135C	0.0337
YGL044C	0.0283
YHR184W	0.0754
YIL117C	0.1536
YDR368W	0.0304
YHR007C	0.0277
YOR090C	0.0584
YER038C	0.1189
YDR120C	0.0335
YBR046C	0.0841
YJL095W	0.0714
YLR277C	0.0558
YPL153C	0.0448
YDR273W	0.2540
YMR275C	0.0497
YMR112C	0.0782
YGR081C	0.1649
YOR025W	0.0569
YGR260W	0.0217
YMR198W	0.1262
YGL090W	0.2497
YAR015W	0.0329
YDL149W	0.0747
YLR378C	0.0073
YLR320W	0.1627
YKL113C	0.0124
YER078C	0.0517
YGR172C	0.0190
YGR258C	0.0895
YDR216W	0.0781
YDR164C	0.0290
YAL009W	0.0449
YEL057C	0.1131
YOL138C	0.1096
YNL158W	0.2068
YMR210W	0.0675
YJR041C	0.1609
YER149C	0.0645
YGL082W	0.0486
YLR045C	0.0621
YGL089C	0.1570
YDR428C	0.1457
YPR129W	0.0965
YCR016W	0.2055
YML066C	0.0796
YDR486C	0.0116
YJR096W	0.0509
YLR256W	0.0483
YGL229C	0.1233
YPL120W	0.0743
YGR004W	0.0953
YIL137C	0.0863
YEL064C	0.0570
YPL043W	0.0581
YLR219W	0.1593
YML058W-A	0.0169
YJR092W	0.2307
YCL043C	0.0478
YKL033W-A	0.1206
YJR098C	0.1092
YJL148W	0.0819
YNL062C	0.0470
YDR111C	0.0423
YHR114W	0.0617
YOR323C	0.0363
YOL049W	0.0895
YBR268W	0.0843
YPL061W	0.0223
YNL255C	0.0197
YJR097W	0.1090
YAL040C	0.0768
YNL257C	0.0481
YIL049W	0.0991
YNL212W	0.0571
YNL230C	0.1442
YMR113W	0.0820
YCR092C	0.1246
YPR061C	0.1022
YGR165W	0.0693
YFR030W	0.0619
YCR030C	0.0742
YHR198C	0.0625
YLR405W	0.0912
YHR164C	0.1314
YMR203W	0.0273
YGL186C	0.0518
YER178W	0.0140
YFR014C	0.0636
YNL293W	0.0502
YGR166W	0.1406
YOR209C	0.0543
YMR149W	0.1628
YMR043W	0.0472
YEL061C	0.0497
YOR252W	0.0415
YOR107W	0.1240
YOR148C	0.1094
YDR325W	0.0809
YLR384C	0.0434
YHR172W	0.0627
YNR024W	0.2118
YNL318C	0.0573
YJR110W	0.0542
YGL161C	0.0792
YHR088W	0.0029
YER088C	0.1263
YDL060W	0.0391
YPL149W	0.1436
YGR031W	0.1349
YCL051W	0.1289
YGL061C	0.0789
YFL024C	0.0446
YDR454C	0.0292
YDR389W	0.0535
YJL029C	0.0516
YMR102C	0.0369
YPL179W	0.0333
YPL092W	0.0646
YPR049C	0.0982
YDR487C	0.0383
YNL187W	0.2235
YBL104C	0.0781
YDR031W	0.0899
YGR016W	0.1162
YCR027C	0.0638
YIL046W	0.0367
YER090W	0.0205
YLR090W	0.1190
YPR047W	0.0611
YIL132C	0.0938
YBR131W	0.1312
YIL134W	0.0710
YER169W	0.0432
YOR274W	0.0669
YDL170W	0.0389
YNL192W	0.0421
YJR006W	0.0733
YER129W	0.0963
YFR006W	0.0872
YPL229W	0.1135
YPL096W	0.1332
YBL056W	0.0601
YOR186W	0.3244
YEL052W	0.0472
YIL013C	0.0535
YLL027W	0.0913
YGR210C	0.0176
YGR146C	0.1037
YOL091W	0.1131
YER118C	0.0445
YGR170W	0.0853
YNL248C	0.1003
YBR233W	0.0681
YGR149W	0.0285
YOR037W	0.1569
YOR173W	0.0191
YKL018C-A	0.0554
YIL109C	0.0158
YDR234W	0.0442
YGR270W	0.1126
YCR082W	0.1052
YGR167W	0.1147
YHR060W	0.1243
YKR078W	0.1310
YML043C	0.0988
YDR123C	0.1285
YIL128W	0.0782
YDR469W	0.4699
YBR270C	0.0558
YGR132C	0.0111
YGR042W	0.1825
YCR034W	0.0468
YBL075C	0.0189
YHR195W	0.1360
YPL106C	0.0181
YPR030W	0.1204
YCR046C	0.0603
YNL247W	0.2898
YNL202W	0.0319
YER099C	0.0166
YDL113C	0.0621
YPR151C	0.0687
YFR037C	0.0435
YJL140W	0.0169
YHR067W	0.1504
YGL191W	0.0133
YHR104W	0.0119
YPR127W	0.0577
YOR138C	0.0909
YGL080W	0.0282
YPL217C	0.0682
YGL008C	0.0360
YPL133C	0.0945
YKL059C	0.0344
YDR453C	0.0583
YCR004C	0.0254
YBR259W	0.2052
YBR111C	0.0391
YNL058C	0.1097
YIL113W	0.1170
YMR100W	0.0649
YML064C	0.0307
YGR015C	0.0832
YHR097C	1.1821
YLL001W	0.0243
YLR243W	0.0182
YJL089W	0.0974
YGL135W	0.0207
YBR233W-A	0.0573
YGL086W	0.0745
YGR251W	0.1298
YGR135W	0.0278
YGL124C	0.0689
YKL032C	0.0276
YMR307W	0.0324
YHR058C	0.0333
YOL144W	0.1562
YNL004W	0.1049
YBR036C	0.0195
YOR076C	0.2143
YBR155W	0.0717
YPR190C	0.0357
YBR217W	0.0504
YJR076C	0.0200
YIL115C	0.2187
YMR066W	0.1672
YJL001W	0.0044
YGR101W	0.0574
YER040W	0.0518
YLR443W	0.0995
YNL159C	0.1256
YLR329W	0.1234
YOR051C	0.0500
YDR318W	0.0567
YML105C	0.0409
YER114C	0.0839
YOR175C	0.0522
YAL054C	0.0143
YPL048W	0.0434
YLR196W	0.0503
YNL256W	0.0916
YEL005C	0.0867
YIL151C	0.0754
YJL004C	0.0787
YKR021W	0.0740
YDL119C	0.0624
YDR387C	0.0720
YJR144W	0.0777
YKL135C	0.0401
YMR079W	0.0197
YAR014C	0.1951
YOR338W	0.1285
YDL070W	0.1137
YLR204W	0.3283
YBL089W	0.0755
YDR383C	0.1030
YCL038C	0.0460
YFR050C	0.0200
YGR010W	0.0100
YMR175W	0.0927
YIL003W	0.0648
YGL128C	0.1047
YIL048W	0.0228
YPL026C	0.0440
YDR317W	0.1199
YOR324C	0.0918
YGR245C	0.0293
YMR099C	0.0223
YDR303C	0.0828
YGR072W	0.1369
YNL172W	0.0835
YAL044W-A	0.0191
YDL142C	0.2280
YGR070W	0.1072
YDR333C	0.0678
YBL005W	0.0786
YBR128C	0.0829
YAL038W	0.0729
YGL122C	0.0372
YGR131W	0.0893
YBR005W	0.1373
YOR108W	0.0228
YER167W	0.0747
YJL049W	0.1305
YOL095C	0.0779
YGL079W	0.0753
YMR274C	0.0604
YML061C	0.0556
YGR092W	0.0154
YKR035W-A	0.0030
YPR065W	0.0455
YDR248C	0.0354
YAL037W	0.1427
YNL232W	0.0952
YKL167C	0.0530
YGR030C	0.1754
YCR044C	0.0696
YDL176W	0.0487
YLR224W	0.0999
YOL057W	0.0519
YDL004W	0.0337
YGR264C	0.0411
YNL288W	0.0246
YER103W	0.0196
YDR067C	0.0415
YGR077C	0.1771
YKL014C	0.1304
YDR527W	0.0848
YML091C	0.0517
YBR138C	0.1064
YDL057W	0.1294
YNL023C	0.1043
YHR032W	0.1071
YDR430C	0.0626
YNL175C	0.1440
YPL063W	0.0646
YIR027C	0.0680
YIL108W	0.0328
YDR257C	0.1311
YNL268W	0.0558
YJR116W	0.0592
YLR323C	0.1070
YPL038W	0.0734
YKL064W	0.0214
YDL166C	0.0293
YDR466W	0.1530
YGR173W	0.0088
YDR142C	0.0531
YNL072W	0.0538
YDR231C	0.0595
YML041C	0.0233
YER019W	0.0422
YNL287W	0.0227
YIL023C	0.1500
YJL210W	0.1327
YER068W	0.0525
YDR376W	0.0829
YDL028C	0.0520
YOL036W	0.1572
YPL052W	0.0955
YOR278W	0.1098
YGR065C	0.0177
YHR131C	0.1028
YER062C	0.0072
YPL104W	0.0803
YIL005W	0.1810
YOR295W	0.2437
YMR041C	0.1012
YAL046C	0.1451
YMR009W	0.1149
YDR449C	0.0503
YMR129W	0.0615
YDR374C	0.0972
YJR134C	0.1201
YPL008W	0.0998
YGR232W	0.0356
YPL176C	0.1050
YBR139W	0.0613
